query,clicks,impressions,ctr,avg_position
신차 계약금,0.0,14.0,0.0,8.0
차량 취등록세 계산,0.0,14.0,0.0,8.5
제네시스 g80 가격 2026 공식,0.0,14.0,0.0,10.86
인기수입차,0.0,14.0,0.0,10.93
ev5 색상,0.0,13.0,0.0,2.31
국내 차 브랜드,0.0,13.0,0.0,2.46
국산 자동차 브랜드,0.0,13.0,0.0,4.38
g80 출고가,0.0,13.0,0.0,6.0
ioniq 5 가격,0.0,13.0,0.0,6.15
fsd,0.0,13.0,0.0,6.23
2025 한국 자동차 판매량 순위,0.0,13.0,0.0,6.54
q5 26년식,0.0,13.0,0.0,7.69
bmw 320i,0.0,13.0,0.0,8.23
제네시스 g80 가격 공식 2026,0.0,13.0,0.0,8.46
차량 취득세 계산,0.0,13.0,0.0,8.54
ev5 고질병,0.0,13.0,0.0,8.92
26년 전기차,0.0,13.0,0.0,10.62
제네시스 g80 가격표 2026 공식,0.0,13.0,0.0,10.62
bmw m850i 가격,0.0,13.0,0.0,10.77
미니쿠퍼 할인,0.0,13.0,0.0,11.0
수입자동차회사,0.0,13.0,0.0,27.23
수입자동차프로모션,0.0,13.0,0.0,41.92
폴스타3 보조금,0.0,12.0,0.0,5.33
cla 350,0.0,12.0,0.0,5.67
es90 예상 가격,0.0,12.0,0.0,6.08
기아 ev5 가격 한국,0.0,12.0,0.0,6.17
cla350,0.0,12.0,0.0,6.33
수입차 판매,0.0,12.0,0.0,6.67
폴스타3가격,0.0,12.0,0.0,8.42
fsd 한국 도입,0.0,12.0,0.0,8.58
판매량은,0.0,12.0,0.0,8.83
glc 프로모션,0.0,12.0,0.0,9.75
국산차 제로백 순위 2025,0.0,12.0,0.0,10.08
수입차 시승 예약,0.0,12.0,0.0,10.08
m850i 가격,0.0,12.0,0.0,10.92
폭스바겐 프로모션,0.0,12.0,0.0,10.92
미국 자동차 판매량 순위 2026,0.0,12.0,0.0,11.33
장기렌트 리스 차이,0.0,12.0,0.0,11.92
ev5 결함,0.0,12.0,0.0,12.08
외제차판매조건,0.0,12.0,0.0,22.67
bmw 프로모션 디시,0.0,12.0,0.0,27.42
수입차가격표,0.0,12.0,0.0,30.42
현대차 순위,0.0,11.0,0.0,1.0
mercedes cla 2026,0.0,11.0,0.0,2.45
2026 벤츠,0.0,11.0,0.0,3.09
ev5 문제점,0.0,11.0,0.0,3.09
주행거리,0.0,11.0,0.0,4.73
2026 자동차 판매 순위,0.0,11.0,0.0,5.36
byd 할부 프로그램,0.0,11.0,0.0,5.45
제네시스 g80 가격 2026,0.0,11.0,0.0,5.55
byd 테슬라 비교,0.0,11.0,0.0,6.45
신차 할부 구매 절차,0.0,11.0,0.0,6.91
자동차 취득세 비영업용 승용차 7% 공식,0.0,11.0,0.0,7.36
아우디프로모션,0.0,11.0,0.0,7.55
아이오닉9 지원금,0.0,11.0,0.0,7.64
a5 프로모션,0.0,11.0,0.0,7.82
자동차 판매 순위 2026,0.0,11.0,0.0,8.09
한국 전기차 순위,0.0,11.0,0.0,8.18
국내 자동차 브랜드 순위,0.0,11.0,0.0,8.55
자동차 취득세 과세표준 부가가치세 제외 공식,0.0,11.0,0.0,9.45
폴스타 3 한국 가격,0.0,11.0,0.0,10.0
아이오닉 5 가격,0.0,10.0,0.0,1.0
자동차회사 순위,0.0,10.0,0.0,1.0
ev3 단점,0.0,10.0,0.0,2.3
한국 외제차 판매순위,0.0,10.0,0.0,3.8
2026 메르세데스-벤츠 e-class 연비,0.0,10.0,0.0,4.6
벤츠 cla 2026,0.0,10.0,0.0,5.3
4월 프로모션,0.0,10.0,0.0,6.7
2025년 자동차 판매순위,0.0,10.0,0.0,7.9
bmw320i m sport,0.0,10.0,0.0,8.4
제네시스 g80 2026 가격표 공식,0.0,10.0,0.0,8.8
2025 한국 전기차 판매량 순위,0.0,10.0,0.0,9.1
테슬라 fsd 한국 출시 현황,0.0,10.0,0.0,9.1
2026 비엠더블유 2시리즈 가격,0.0,10.0,0.0,9.6
제네시스 g80 신형 출시일,0.0,10.0,0.0,10.8
외제 차 프로모션,0.0,10.0,0.0,17.6
씨라이언 6,0.0,10.0,0.0,17.9
ev,0.0,9.0,0.0,2.11
glb eqb,0.0,9.0,0.0,3.56
2025 국산차 판매순위,0.0,9.0,0.0,4.33
audi a6 가격,0.0,9.0,0.0,4.44
국산자동차 브랜드,0.0,9.0,0.0,4.44
국내판매,0.0,9.0,0.0,5.67
아우디 a6 트림,0.0,9.0,0.0,6.33
ev5 아이오닉5 크기 비교,0.0,9.0,0.0,6.67
suv 순위 2025,0.0,9.0,0.0,6.67
2026 경차 취득세 감면 한도 75만원 공식,0.0,9.0,0.0,6.78
fsd 도입,0.0,9.0,0.0,7.44
아반떼 렌트비,0.0,9.0,0.0,7.67
투아렉 프로모션,0.0,9.0,0.0,8.0
자동차 취득세 과세표준 부가가치세 제외 7% 공식,0.0,9.0,0.0,8.56
테슬라 fsd 한국 출시 일정,0.0,9.0,0.0,8.78
테슬라 엔카,0.0,9.0,0.0,9.44
2026 중고차 취득세 승용차 7% 공식,0.0,9.0,0.0,9.56
아반떼 cn8,0.0,9.0,0.0,9.89
현대차 가격 순위,0.0,9.0,0.0,10.11
테슬라 bms_a079,0.0,9.0,0.0,10.56
국산차 등급 표,0.0,9.0,0.0,10.78
320i 프로모션,0.0,9.0,0.0,11.56
수입차량,0.0,9.0,0.0,19.89
수입차판매조건,0.0,9.0,0.0,45.0
bmw x1 프로모션,0.0,8.0,0.0,1.0
e200amg,0.0,8.0,0.0,1.0
미니 쿠퍼 가격,0.0,8.0,0.0,1.0
벤츠e200 amg,0.0,8.0,0.0,1.0
볼보 suv 가격,0.0,8.0,0.0,1.0
자동차 업계 순위,0.0,8.0,0.0,1.0
ev5 페이스 리프트,0.0,8.0,0.0,1.12
ev5 vs 아이오닉5,0.0,8.0,0.0,1.75
mercedes cla ev,0.0,8.0,0.0,3.62
스포츠카 브랜드 순위,0.0,8.0,0.0,3.88
테슬라 5월 판매량,0.0,8.0,0.0,4.25
아우디 a6 가격,0.0,8.0,0.0,4.75
무공해차 통합누리집 아이오닉 9 보조금 2026,0.0,8.0,0.0,5.5
한국 전기차 판매 순위,0.0,8.0,0.0,5.5
2026 차량 판매 순위,0.0,8.0,0.0,6.62
테슬라 전환지원금,0.0,8.0,0.0,6.88
자동차 취득세 비영업용 승용자동차 7% 공식,0.0,8.0,0.0,7.75
폭스바겐 할인,0.0,8.0,0.0,7.75
제네시스 g80 2026,0.0,8.0,0.0,8.0
6월 자동차 판매량,0.0,8.0,0.0,8.12
제네시스 g80 가격 2026 공식 가격표,0.0,8.0,0.0,9.75
sealion 뜻,0.0,8.0,0.0,10.62
비엠 x4,0.0,8.0,0.0,11.25
아반떼 하루 렌트비,0.0,8.0,0.0,11.25
아이 오닉 5n 가격,0.0,8.0,0.0,12.12
아우디 a6 할인,0.0,8.0,0.0,12.38
리스 장기렌트 차이,0.0,8.0,0.0,12.62
부담 다운 프로모션,0.0,8.0,0.0,15.62
부담다운프로모션,0.0,8.0,0.0,16.12
kia ev5,0.0,8.0,0.0,27.25
테슬라 주니퍼 bms,0.0,8.0,0.0,32.12
자동차 프로모션 사이트,0.0,8.0,0.0,39.25
수입차 할인,0.0,8.0,0.0,42.62
bmw 전기차 가격,0.0,7.0,0.0,1.0
ev5 페이스리프트,0.0,7.0,0.0,1.0
벤츠 2026,0.0,7.0,0.0,1.0
자동차 회사 매출 순위,0.0,7.0,0.0,1.0
아이오닉5 ev5 비교,0.0,7.0,0.0,1.43
대한민국 자동차 브랜드,0.0,7.0,0.0,1.57
아이오닉5 vs ev5,0.0,7.0,0.0,1.71
외제차 종류,0.0,7.0,0.0,3.71
차량 브랜드 순위,0.0,7.0,0.0,3.71
시라이언 검정,0.0,7.0,0.0,3.86
2026년 자동차 판매순위,0.0,7.0,0.0,4.57
제네시스 마그마,0.0,7.0,0.0,5.14
2025년 9월 렉서스 아우디 프로모션,0.0,7.0,0.0,5.29
기아 ev5 제원,0.0,7.0,0.0,5.57
2026년 차량 판매 순위,0.0,7.0,0.0,5.86
스포티지 장기렌트 월 렌탈료 48개월 2만km,0.0,7.0,0.0,6.29
테슬라 국고보조금,0.0,7.0,0.0,6.43
벤츠 프로모션 2026,0.0,7.0,0.0,6.57
아우디 내부,0.0,7.0,0.0,6.57
2026 전기차 보조금 테슬라 모델 y 한국 환경부,0.0,7.0,0.0,6.71
제네시스 g90 풀체인지,0.0,7.0,0.0,7.0
투아렉 할인,0.0,7.0,0.0,7.0
국산차 판매 순위,0.0,7.0,0.0,7.14
2025 자동차 판매순위,0.0,7.0,0.0,7.29
기아 ev5 가격 한국,0.0,7.0,0.0,7.86
2026 메르세데스-벤츠 cla,0.0,7.0,0.0,8.29
자동차 취등록세 계산,0.0,7.0,0.0,9.0
2026 제네시스 g80 가격표 공식,0.0,7.0,0.0,10.57
자동차 취득세율,0.0,7.0,0.0,11.14
자동차취득세율,0.0,7.0,0.0,11.14
전세계 자동차 판매량 순위 2025,0.0,7.0,0.0,17.71
벤츠 프로모션,0.0,7.0,0.0,18.43
bms a079 디시,0.0,7.0,0.0,21.0
메르세데스 eqb,0.0,7.0,0.0,21.43
gv60 마그마 디시,0.0,7.0,0.0,25.0
수입차4월프로모션,0.0,7.0,0.0,50.0
carfia,0.0,6.0,0.0,1.0
스포티지 lpg 연비,0.0,6.0,0.0,1.0
한국차 브랜드,0.0,6.0,0.0,1.0
좋은 차 순위,0.0,6.0,0.0,1.33
pv5 서스펜션,0.0,6.0,0.0,1.5
"""현대오토에버"" 2025년 9월 9일",0.0,6.0,0.0,2.33
수입 자동차 종류,0.0,6.0,0.0,2.67
bmw glb,0.0,6.0,0.0,2.83
가격은?,0.0,6.0,0.0,3.0
glc 300 4m,0.0,6.0,0.0,3.17
기아 ev5 가격,0.0,6.0,0.0,3.83
테슬라 모델 y,0.0,6.0,0.0,4.0
제네시스 풀체인지 일정,0.0,6.0,0.0,4.17
2025년 한국 자동차 판매 순위,0.0,6.0,0.0,4.67
ev5가격,0.0,6.0,0.0,5.17
5월 자동차 판매량,0.0,6.0,0.0,5.5
무공해차 통합누리집 아이오닉9 보조금 2026,0.0,6.0,0.0,5.83
"123,000원",0.0,6.0,0.0,6.33
신형 아우디 a6 가격,0.0,6.0,0.0,7.5
아반떼 장기렌트비용 디시,0.0,6.0,0.0,7.67
2025년 9월 렉서스 아우디 프로모션 or 할인 or 이벤트,0.0,6.0,0.0,8.17
현대차 2026년 6월 판매 실적 공식,0.0,6.0,0.0,8.33
국내 전기차 순위,0.0,6.0,0.0,8.33
kia순위,0.0,6.0,0.0,8.5
국내 판매,0.0,6.0,0.0,9.0
2025 자동차 판매량 순위,0.0,6.0,0.0,9.33
bmw프로모션,0.0,6.0,0.0,9.33
자동차 브랜드 순위 2025,0.0,6.0,0.0,9.33
자동차취등록세 계산,0.0,6.0,0.0,9.33
아이 오닉 v 가격,0.0,6.0,0.0,9.5
자동차 등록세 취득세,0.0,6.0,0.0,9.5
제네시스 g80 2026 가격 제원 공식,0.0,6.0,0.0,9.83
볼보 프로모션,0.0,6.0,0.0,9.83
bmw 11,0.0,6.0,0.0,10.0
ev5 전장,0.0,6.0,0.0,10.17
카피아 디시,0.0,6.0,0.0,11.17
전기차 추천 2026,0.0,6.0,0.0,11.83
320i m 스포츠,0.0,6.0,0.0,13.0
벤츠 클래스 순위 디시,0.0,6.0,0.0,14.0
테슬라 byd,0.0,6.0,0.0,15.33
gv60 마그마 판매량,0.0,6.0,0.0,20.17
기아ev5,0.0,6.0,0.0,20.67
byd 전기차,0.0,6.0,0.0,20.83
"""gv60 마그마"" and ""제네시스""",0.0,6.0,0.0,25.0
수입신차가격,0.0,6.0,0.0,30.83
자동차 3월 프로모션,0.0,6.0,0.0,30.83
ev5 배터리,0.0,6.0,0.0,33.17
신차 할인 프로모션,0.0,6.0,0.0,39.33
수입외제차,0.0,6.0,0.0,45.5
수입차할인,0.0,6.0,0.0,56.17
2026년 신차,0.0,5.0,0.0,1.0
330i m sport,0.0,5.0,0.0,1.0
5월 전기차 판매량,0.0,5.0,0.0,1.0
bms_a079 tesla,0.0,5.0,0.0,1.0
bmw 330i m sport,0.0,5.0,0.0,1.0
ev5 택시,0.0,5.0,0.0,1.0
ioniq 5 n,0.0,5.0,0.0,1.0
벤츠 4matic,0.0,5.0,0.0,1.0
벤츠 glc 300e 4matic,0.0,5.0,0.0,1.0
아반떼 렌트카,0.0,5.0,0.0,1.0
한국 자동차 점유율,0.0,5.0,0.0,1.0
국산 차 브랜드,0.0,5.0,0.0,1.4
cla amg ev,0.0,5.0,0.0,1.8
수입자동차,0.0,5.0,0.0,1.8
국내 자동차 기업,0.0,5.0,0.0,2.0
ev5 wltp,0.0,5.0,0.0,2.6
g90 풀체인지,0.0,5.0,0.0,2.6
pv5 크기 비교,0.0,5.0,0.0,2.6
한국에서 인기가 많은 수입 suv 모델은 무엇인가요? (in south korea. be sure to reply in korean),0.0,5.0,0.0,2.6
"한국에서 구매할 수 있는 수입 suv top 10은 어떤 모델인가요? (in south korea. be sure to reply in 
korean)",0.0,5.0,0.0,2.8
ev5 7인승,0.0,5.0,0.0,3.0
5월 자동차 판매 순위,0.0,5.0,0.0,3.2
byd,0.0,5.0,0.0,3.2
외제차 브랜드 종류,0.0,5.0,0.0,3.4
수입차,0.0,5.0,0.0,3.8
테슬라 6월 판매량,0.0,5.0,0.0,3.8
26년 6월 자동차 판매량,0.0,5.0,0.0,4.2
전기차 판매량 순위,0.0,5.0,0.0,4.8
6월 자동차 판매순위,0.0,5.0,0.0,5.4
5월 수입차 판매순위,0.0,5.0,0.0,6.0
스포티지 장기렌트 월 렌트료,0.0,5.0,0.0,6.0
국내 차,0.0,5.0,0.0,6.0
bmw 320i m sport 실구매 가,0.0,5.0,0.0,6.6
bmw x4 xdrive20i,0.0,5.0,0.0,6.6
byd 자체 보조금,0.0,5.0,0.0,7.0
기아 전기차 ev5,0.0,5.0,0.0,7.0
전기차 외제차,0.0,5.0,0.0,7.4
신차 판매량,0.0,5.0,0.0,7.6
bmw x4 프로모션,0.0,5.0,0.0,7.8
tesla bms error,0.0,5.0,0.0,7.8
tesla bms a079 issue,0.0,5.0,0.0,8.0
2026 자동차 취득세 승용차 7% 공식,0.0,5.0,0.0,8.6
ev5 최고속도,0.0,5.0,0.0,9.0
carfia 에비에이터 25년식 할인 추이,0.0,5.0,0.0,9.2
아우디a6 풀체인지,0.0,5.0,0.0,9.4
자동차 취등록세 기준,0.0,5.0,0.0,9.4
bmw 가격 순위 2025,0.0,5.0,0.0,9.8
아반떼 하루 렌트 비용,0.0,5.0,0.0,10.2
2026 기아 ev5 어스,0.0,5.0,0.0,10.4
리스와 장기렌트 차이,0.0,5.0,0.0,10.4
자동차 등록세,0.0,5.0,0.0,10.8
자동차등록세,0.0,5.0,0.0,11.0
아반떼 한달 렌트비,0.0,5.0,0.0,11.2
신차계약,0.0,5.0,0.0,11.4
핫딜,0.0,5.0,0.0,11.6
아우디 a6 45 tfsi 가격,0.0,5.0,0.0,12.8
아반떼 판매량,0.0,5.0,0.0,15.0
ev3 ev5 비교,0.0,5.0,0.0,17.8
국산 suv 가격 순위,0.0,5.0,0.0,19.2
벤츠 판매량,0.0,5.0,0.0,22.0
외제 차 브랜드 서열,0.0,5.0,0.0,23.0
민대표,0.0,5.0,0.0,24.4
gv60 magma,0.0,5.0,0.0,25.8
테슬라 배터리 보증,0.0,5.0,0.0,29.8
한국 자동차 판매량 순위 2024,0.0,5.0,0.0,38.0
외제자동차가격,0.0,5.0,0.0,43.6
3월 프로모션,0.0,4.0,0.0,1.0
7월 프로모션,0.0,4.0,0.0,1.0
bmw 가격,0.0,4.0,0.0,1.0
ev5 차박,0.0,4.0,0.0,1.0
ev5 트림별 차이,0.0,4.0,0.0,1.0
glc300 amg,0.0,4.0,0.0,1.0
레이 장기렌트 비용,0.0,4.0,0.0,1.0
벤츠 아방가르드 e200,0.0,4.0,0.0,1.0
아이오닉5n 마력,0.0,4.0,0.0,1.0
아이오닉5가격,0.0,4.0,0.0,1.0
장기렌트 아반떼,0.0,4.0,0.0,1.0
테슬라 무이자 프로모션,0.0,4.0,0.0,1.0
현대자동차 순위,0.0,4.0,0.0,1.0
어코드,0.0,4.0,0.0,1.75
외제차 전기차,0.0,4.0,0.0,1.75
"""현대오토에버"" ""2025년 9월 9일""",0.0,4.0,0.0,2.0
아반떼,0.0,4.0,0.0,2.0
q3가격,0.0,4.0,0.0,2.5
실구매가,0.0,4.0,0.0,2.5
테슬라,0.0,4.0,0.0,2.5
외제차 판매 순위,0.0,4.0,0.0,2.75
최근 인기 있는 수입 suv 모델 리스트 알려주세요. (in south korea. be sure to reply in korean),0.0,4.0,0.0,2.75
외국 자동차 브랜드,0.0,4.0,0.0,3.0
20위까지,0.0,4.0,0.0,3.25
알려줘,0.0,4.0,0.0,3.5
자동차브랜드 순위,0.0,4.0,0.0,3.5
아이오닉9,0.0,4.0,0.0,4.0
2026 5월 자동차 판매량,0.0,4.0,0.0,4.25
2026년 자동차 판매량,0.0,4.0,0.0,4.25
tesla bms issue,0.0,4.0,0.0,4.25
아반떼 한달 유지비,0.0,4.0,0.0,4.25
외국 차 브랜드,0.0,4.0,0.0,4.25
기아 ev5 국내 출시,0.0,4.0,0.0,4.5
자동차 취득세 비영업용 승용차 7% 공식 2026,0.0,4.0,0.0,4.5
외제차 서열,0.0,4.0,0.0,4.5
아우디 q5 할인,0.0,4.0,0.0,4.75
아우디a6가격,0.0,4.0,0.0,4.75
제네시스g80,0.0,4.0,0.0,4.75
2026년 5월 자동차 판매 순위,0.0,4.0,0.0,5.0
외국차 브랜드,0.0,4.0,0.0,5.0
bmw,0.0,4.0,0.0,5.25
자동차 취득세 승용차 7% 공식,0.0,4.0,0.0,5.25
카피 아 구매 후기,0.0,4.0,0.0,5.25
6월 차량 판매 순위,0.0,4.0,0.0,5.5
위택스 자동차 취득세 비영업용 승용자동차 7%,0.0,4.0,0.0,5.5
자동차 취득세 승용차 7% 공식 2026,0.0,4.0,0.0,5.5
테슬라 bms a079 오류,0.0,4.0,0.0,5.5
한국 전기차 판매 순위 2025,0.0,4.0,0.0,5.5
2025년 9월 렉서스 아우디 프로모션 할인,0.0,4.0,0.0,5.75
ev cla,0.0,4.0,0.0,5.75
수입차판매량,0.0,4.0,0.0,5.75
5월 프로모션,0.0,4.0,0.0,6.0
glb tech,0.0,4.0,0.0,6.25
bms a 079,0.0,4.0,0.0,6.5
기아전기차ev5,0.0,4.0,0.0,6.5
아우디 a6가격,0.0,4.0,0.0,6.5
"""현대오토에버"" 2025년 9월 뉴스",0.0,4.0,0.0,6.75
tesla bms a079 error,0.0,4.0,0.0,6.75
스타리아 판매량,0.0,4.0,0.0,6.75
자동차 순위 2026,0.0,4.0,0.0,6.75
아반떼 리스,0.0,4.0,0.0,7.0
아반떼 프로모션,0.0,4.0,0.0,7.0
황희찬 스포츠카,0.0,4.0,0.0,7.0
2026 자동차 취득세 비영업용 승용차 7% 공식,0.0,4.0,0.0,7.25
전기차 취등록세 계산,0.0,4.0,0.0,7.25
첫차 가격,0.0,4.0,0.0,7.25
ev 5,0.0,4.0,0.0,7.5
제네시스 g80 2026 가격,0.0,4.0,0.0,7.5
첫 차 추천,0.0,4.0,0.0,7.5
25년 자동차 판매량,0.0,4.0,0.0,7.75
국산차 자동차 가격 순위,0.0,4.0,0.0,7.75
지커 7x,0.0,4.0,0.0,7.75
ev5 크기 비교,0.0,4.0,0.0,8.0
g80 2026,0.0,4.0,0.0,8.0
ix5 예상 가격,0.0,4.0,0.0,8.0
아우디 a6 풀 옵션 가격,0.0,4.0,0.0,8.0
제네시스 g90,0.0,4.0,0.0,8.0
주행 거리,0.0,4.0,0.0,8.0
한국 fsd,0.0,4.0,0.0,8.0
g80 후면,0.0,4.0,0.0,8.25
bmw eqb,0.0,4.0,0.0,8.5
외제차 유지비 현실,0.0,4.0,0.0,8.5
ncm lfp,0.0,4.0,0.0,8.75
스포티지 장기렌트 가격 48개월 2만km,0.0,4.0,0.0,8.75
테슬라 자체보조금,0.0,4.0,0.0,8.75
lfp ncm,0.0,4.0,0.0,9.0
스포티지 장기렌트 48개월 무보증 월 렌트료,0.0,4.0,0.0,9.5
차량취득세 계산,0.0,4.0,0.0,9.5
ev5 전기차,0.0,4.0,0.0,9.75
전기차 순위 2026,0.0,4.0,0.0,9.75
중국 전기차 가격,0.0,4.0,0.0,10.0
자동차 취득세 등록세 계산,0.0,4.0,0.0,10.25
작년 한국에서 가장 많이 팔린 차모델,0.0,4.0,0.0,10.5
폴스타 3가격,0.0,4.0,0.0,10.5
2026 국내 모터쇼 일정,0.0,4.0,0.0,10.75
수입 전기차 추천,0.0,4.0,0.0,12.25
320im sport,0.0,4.0,0.0,13.0
fsd lite 한국,0.0,4.0,0.0,13.25
bms a079 tesla,0.0,4.0,0.0,13.5
벤츠 glb 디시,0.0,4.0,0.0,14.0
신차 계약 취소 패널티,0.0,4.0,0.0,15.5
전기차 보조금 계산기 2026,0.0,4.0,0.0,16.25
테슬라 lfp bms,0.0,4.0,0.0,16.5
리스 렌트 차이,0.0,4.0,0.0,18.0
fsd lite 한국 배포,0.0,4.0,0.0,18.5
아우디 q3,0.0,4.0,0.0,18.75
정액트림,0.0,4.0,0.0,18.75
ev5 연비,0.0,4.0,0.0,27.25
국내 자동차 판매량 순위 2024,0.0,4.0,0.0,29.5
전기차추천,0.0,4.0,0.0,30.75
현대자동차 판매량 순위,0.0,4.0,0.0,33.0
2026신차,0.0,3.0,0.0,1.0
bmw전기차가격,0.0,3.0,0.0,1.0
ev5 ev3 비교,0.0,3.0,0.0,1.0
ev5 시승기,0.0,3.0,0.0,1.0
ev5 제원,0.0,3.0,0.0,1.0
glc 300 amg,0.0,3.0,0.0,1.0
고급 외제 차 브랜드 순위,0.0,3.0,0.0,1.0
국내 자동차 시장 점유율,0.0,3.0,0.0,1.0
기아 ev5 배터리,0.0,3.0,0.0,1.0
미니 쿠페 가격,0.0,3.0,0.0,1.0
아반떼 리스 비용,0.0,3.0,0.0,1.0
아이 오닉 5 가격,0.0,3.0,0.0,1.0
아이오닉9 가격표,0.0,3.0,0.0,1.0
전기차 주행 거리 순위 2026,0.0,3.0,0.0,1.0
테슬라 보증기간,0.0,3.0,0.0,1.0
한국 자동차 회사,0.0,3.0,0.0,1.0
suv 외제차 순위,0.0,3.0,0.0,1.67
단점,0.0,3.0,0.0,1.67
신차,0.0,3.0,0.0,1.67
외제 차 판매순위,0.0,3.0,0.0,1.67
응,0.0,3.0,0.0,1.67
bmw 3s,0.0,3.0,0.0,2.0
ev5는,0.0,3.0,0.0,2.0
vinfast,0.0,3.0,0.0,2.0
기아 ev5 국내 출시 2025 공식,0.0,3.0,0.0,2.0
비교,0.0,3.0,0.0,2.0
아우디,0.0,3.0,0.0,2.0
쿠퍼 가격,0.0,3.0,0.0,2.0
320i 할인,0.0,3.0,0.0,2.33
ev5 색상 추천,0.0,3.0,0.0,2.33
아이 오닉 9 가격표,0.0,3.0,0.0,2.33
하이브리드 자동차 순위,0.0,3.0,0.0,2.33
m 스포츠 패키지 차이,0.0,3.0,0.0,2.67
미니월,0.0,3.0,0.0,2.67
아우디는,0.0,3.0,0.0,2.67
자동차 브랜드 서열,0.0,3.0,0.0,2.67
bmw 7월프로모션,0.0,3.0,0.0,3.0
bmw 1월 프로모션,0.0,3.0,0.0,3.33
g80 트림,0.0,3.0,0.0,3.33
기아ev5가격,0.0,3.0,0.0,3.33
외국자동차종류,0.0,3.0,0.0,3.33
외국차종류,0.0,3.0,0.0,3.33
ev5 장점,0.0,3.0,0.0,3.67
기아자동차 4월 구매혜택,0.0,3.0,0.0,3.67
자동차 취득세 세율,0.0,3.0,0.0,3.67
차 순위,0.0,3.0,0.0,3.67
제네시스 g80 가격,0.0,3.0,0.0,4.0
benz cla eq,0.0,3.0,0.0,4.33
eqb glb,0.0,3.0,0.0,4.33
개소세 인상,0.0,3.0,0.0,4.33
lfp 테슬라,0.0,3.0,0.0,4.67
차 브랜드 순위,0.0,3.0,0.0,4.67
cla 신형,0.0,3.0,0.0,5.0
아우디a6 가격,0.0,3.0,0.0,5.33
ev5 가격,0.0,3.0,0.0,5.67
자동차 취득세 과세표준 부가가치세 제외 차량가격 7% 공식,0.0,3.0,0.0,5.67
아우디 a6 풀옵션 가격,0.0,3.0,0.0,5.67
2026년 5월 자동차 판매량,0.0,3.0,0.0,6.0
byd 한국 판매량 2026,0.0,3.0,0.0,6.0
무공해차 통합누리집 2026 테슬라 모델 y 보조금,0.0,3.0,0.0,6.0
제네시스 g90 가격 공식 2026,0.0,3.0,0.0,6.0
월별 자동차 판매량,0.0,3.0,0.0,6.0
이브이5,0.0,3.0,0.0,6.0
2026 대한민국 테슬라 모델 y 전기차 보조금 2026,0.0,3.0,0.0,6.33
es90 800v,0.0,3.0,0.0,6.33
ev5 풀옵션 가격,0.0,3.0,0.0,6.33
mercedes cla 350 4matic,0.0,3.0,0.0,6.33
자동차 등록세 폐지 취득세 통합 공식,0.0,3.0,0.0,6.33
자동차 취득세 과세표준 부가가치세 제외 신차 7% 공식,0.0,3.0,0.0,6.33
자동차 취등록세 계산 방법,0.0,3.0,0.0,6.33
전국적으로 시승 센터가 잘 갖춰져 있어 원하는 모델을 충분히 타보고 결정할 수 있는 브랜드는 어디인가요?,0.0,3.0,0.0,6.33
전기차 가격,0.0,3.0,0.0,6.33
테슬라 가격 보조금,0.0,3.0,0.0,6.33
2025년 국내 전기차 판매량 순위,0.0,3.0,0.0,7.0
bmw10,0.0,3.0,0.0,7.0
스포티지 장기렌트 월 렌트료 48개월 2만km,0.0,3.0,0.0,7.67
자동차 취득세 승용차 7% 지방세법 공식,0.0,3.0,0.0,7.67
외제 차 가격 순위,0.0,3.0,0.0,7.67
x4 xdrive20i,0.0,3.0,0.0,8.0
제네시스 g80 가격표 2026 공식 pdf,0.0,3.0,0.0,8.0
더,0.0,3.0,0.0,8.0
순위,0.0,3.0,0.0,8.0
자동차 등록세 계산,0.0,3.0,0.0,8.0
전기차 판매 순위 2025,0.0,3.0,0.0,8.0
차량등록세,0.0,3.0,0.0,8.0
지방세법 승용자동차 취득세 7%,0.0,3.0,0.0,8.67
제네시스 가격,0.0,3.0,0.0,8.67
시라이온,0.0,3.0,0.0,9.0
2026 제네시스 g80 가격표,0.0,3.0,0.0,9.33
es90,0.0,3.0,0.0,9.33
아우디 a6 신형 가격,0.0,3.0,0.0,9.33
아이오닉 5 n 출시 가격,0.0,3.0,0.0,9.33
a6 가격,0.0,3.0,0.0,9.67
bms a,0.0,3.0,0.0,9.67
.glb,0.0,3.0,0.0,10.0
기아 ev5 페이스리프트,0.0,3.0,0.0,10.0
한국 suv 순위,0.0,3.0,0.0,10.0
리스와 렌트 차이,0.0,3.0,0.0,10.33
